#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 294000      1.46e+00      1.44e-02      6.39e-02    5.1e-04
 295000      1.67e+00      2.32e-02      7.37e-02    5.1e-04
 296000      1.54e+00      1.28e-02      6.81e-02    5.1e-04
 297000      1.69e+00      4.37e-03      7.49e-02    5.1e-04
 298000      1.33e+00      4.42e-03      5.92e-02    5.1e-04
 299000      1.30e+00      1.03e-02      5.75e-02    5.1e-04
 300000      1.23e+00      8.51e-03      5.50e-02    5.0e-04
 301000      1.68e+00      7.08e-03      7.48e-02    5.0e-04
 302000      1.57e+00      1.78e-02      6.96e-02    5.0e-04
 303000      1.47e+00      1.25e-02      6.53e-02    5.0e-04
 304000      1.36e+00      9.46e-03      6.06e-02    5.0e-04
 305000      1.73e+00      8.30e-03      7.74e-02    5.0e-04
 306000      1.29e+00      4.33e-03      5.78e-02    5.0e-04
 307000      1.26e+00      1.78e-02      5.60e-02    5.0e-04
 308000      1.32e+00      1.56e-02      5.90e-02    5.0e-04
 309000      1.43e+00      8.12e-03      6.41e-02    5.0e-04
 310000      1.66e+00      1.31e-02      7.48e-02    4.9e-04
 311000      1.49e+00      7.99e-04      6.71e-02    4.9e-04
 312000      1.24e+00      1.50e-02      5.57e-02    4.9e-04
 313000      1.37e+00      1.57e-02      6.13e-02    4.9e-04
 314000      1.55e+00      1.40e-03      6.99e-02    4.9e-04
 315000      1.38e+00      8.78e-04      6.28e-02    4.8e-04
 316000      1.29e+00      1.77e-02      5.83e-02    4.8e-04
 317000      1.55e+00      1.17e-03      7.04e-02    4.8e-04
 318000      1.58e+00      6.73e-03      7.19e-02    4.8e-04
 319000      1.22e+00      9.36e-03      5.55e-02    4.8e-04
 320000      1.66e+00      3.68e-03      7.60e-02    4.8e-04
 321000      1.65e+00      8.53e-03      7.55e-02    4.8e-04
 322000      1.95e+00      5.58e-03      8.90e-02    4.8e-04
 323000      1.39e+00      2.07e-02      6.27e-02    4.8e-04
 324000      1.69e+00      1.81e-02      7.67e-02    4.8e-04
 325000      1.52e+00      7.91e-03      6.95e-02    4.7e-04
 326000      1.33e+00      1.02e-03      6.09e-02    4.7e-04
 327000      1.79e+00      1.41e-02      8.20e-02    4.7e-04
 328000      1.55e+00      1.39e-02      7.11e-02    4.7e-04
 329000      1.53e+00      4.28e-03      7.03e-02    4.7e-04
 330000      1.39e+00      2.67e-04      6.44e-02    4.7e-04
 331000      1.28e+00      2.08e-02      5.82e-02    4.7e-04
 332000      1.92e+00      1.41e-03      8.87e-02    4.7e-04
 333000      1.28e+00      2.63e-03      5.91e-02    4.7e-04
 334000      1.19e+00      2.88e-03      5.48e-02    4.7e-04
 335000      1.36e+00      7.34e-03      6.30e-02    4.6e-04
 336000      1.36e+00      5.50e-03      6.30e-02    4.6e-04
 337000      1.34e+00      1.31e-02      6.18e-02    4.6e-04
 338000      1.34e+00      1.44e-02      6.17e-02    4.6e-04
 339000      2.20e+00      4.82e-03      1.02e-01    4.6e-04
 340000      1.39e+00      1.70e-02      6.44e-02    4.6e-04
 341000      1.20e+00      4.68e-03      5.60e-02    4.6e-04
 342000      1.37e+00      7.39e-03      6.37e-02    4.6e-04
 343000      1.58e+00      2.43e-03      7.39e-02    4.6e-04
 344000      1.30e+00      3.54e-03      6.06e-02    4.6e-04
 345000      1.50e+00      1.71e-02      6.99e-02    4.5e-04
 346000      1.48e+00      1.46e-02      6.94e-02    4.5e-04
 347000      1.27e+00      4.97e-03      5.99e-02    4.5e-04
 348000      1.39e+00      4.23e-03      6.54e-02    4.5e-04
 349000      1.42e+00      4.34e-03      6.66e-02    4.5e-04
 350000      1.39e+00      6.72e-03      6.55e-02    4.5e-04
 351000      1.66e+00      1.29e-02      7.81e-02    4.5e-04
 352000      1.14e+00      7.04e-04      5.38e-02    4.5e-04
 353000      1.41e+00      2.61e-02      6.54e-02    4.5e-04
 354000      1.27e+00      7.20e-03      5.97e-02    4.5e-04
 355000      1.36e+00      9.16e-03      6.43e-02    4.4e-04
 356000      1.49e+00      6.30e-03      7.09e-02    4.4e-04
 357000      9.93e-01      9.37e-03      4.71e-02    4.4e-04
 358000      1.38e+00      9.34e-03      6.57e-02    4.4e-04
 359000      1.37e+00      1.42e-02      6.46e-02    4.4e-04
 360000      1.29e+00      8.96e-03      6.16e-02    4.4e-04
 361000      1.25e+00      1.27e-03      6.00e-02    4.4e-04
 362000      1.11e+00      2.87e-03      5.31e-02    4.4e-04
 363000      1.32e+00      9.50e-03      6.31e-02    4.4e-04
 364000      1.38e+00      1.70e-02      6.53e-02    4.4e-04
 365000      1.31e+00      1.71e-03      6.28e-02    4.3e-04
 366000      1.33e+00      5.48e-03      6.37e-02    4.3e-04
 367000      1.37e+00      6.04e-03      6.57e-02    4.3e-04
 368000      1.36e+00      1.14e-02      6.52e-02    4.3e-04
